NO;NO2;NOX
0.2;5.8;6
1.4;7.2;8.6
1.7;9.5;11.3
6.6;19.4;26
76.7;29.9;106.7
150.4;38.4;188.8
170.7;44.9;215.6
126;46.9;172.9
60;34.1;94.1
9.5;11.2;20.7
7.7;7.9;15.6
9.1;8.5;17.5
6.8;7.5;14.2
7.1;7.4;14.5
6.5;9.1;15.5
NA;NA;NA
8.5;10.3;18.8
NA;NA;NA
NA;NA;NA
19.7;27.6;47.3
22;28.4;50.4
24.3;26.5;50.8
34.8;26.8;61.6
26.1;25;51.1
36;22.3;58.3
25.2;21.3;46.5
29;20;48.9
35.7;19.5;55.2
88.7;26.9;115.6
144.7;30.1;174.9
225.2;44.9;270
210.1;58.6;268.8
121.5;69.8;191.3
19.2;23.7;42.9
7.1;10.1;17.3
10.4;19.9;30.4
7.9;24.8;32.8
5.9;15;20.9
8.9;10;19
7.6;10;17.6
4.6;17.1;21.7
5.2;24.2;29.3
6.3;35.8;42.1
7.6;38.1;45.7
5.7;32.5;38.2
20.3;33;53.3
32.1;33.2;65.3
21.3;29.4;50.7
26.6;26.3;52.9
28;24.8;52.8
18.8;25.6;44.4
39.2;25.6;64.8
65.2;28.6;93.8
152.3;37.4;189.7
224.3;50.1;274.5
199.3;67;266.3
172.8;94.5;267.3
84.7;80.1;164.8
42.5;70.3;112.8
25.4;61.2;86.6
10.7;30;40.7
5.8;11.2;17
6;10;16
6.8;10.8;17.6
10.4;17.4;27.9
3.4;24.6;28.1
6.4;34.6;41
19.2;41.2;60.4
13.1;30.2;43.3
4.4;21.5;25.9
9.8;27.6;37.3
21;33.4;54.4
15.3;30.8;46.2
5.6;26.8;32.4
18.5;28;46.6
41.8;31.4;73.1
86.8;35.2;122.1
172;47.1;219.1
293.4;64.5;358
247;71.9;318.9
164.4;77.4;241.8
88.2;65.4;153.6
17.4;17.1;34.5
7.1;8.2;15.3
5.8;7.4;13.1
3.6;5.8;9.4
4.7;6.8;11.5
5.2;8.4;13.6
7.1;10.7;17.8
10.6;16.6;27.2
6.9;26.3;33.2
2.6;25.8;28.4
6.1;31.6;37.7
19.5;31.4;50.9
22.5;33;55.5
16.6;29.4;46
6.7;24.7;31.4
8.9;26;35
7.2;26;33.1
29.5;28.3;57.8
62.7;35.4;98.1
160.7;43.3;204
267.2;60.2;327.4
202.4;66.7;269
128.8;74.8;203.6
59.7;62.1;121.8
10.4;27;37.4
12;36.4;48.4
5.1;31.2;36.4
3.3;19.7;23.1
3.7;15.5;19.2
3.7;14.2;17.9
2.2;13.2;15.4
3;20.6;23.6
5.6;29.1;34.7
3.3;28.6;31.9
5.6;39;44.6
6.2;36.6;42.8
27.9;38.2;66.1
39.2;37.1;76.3
31.5;41.8;73.3
30.6;36.4;67.1
1.9;24.4;26.3
0;20;19.8
3.4;25.2;28.7
20.4;36;56.5
47.4;38.7;86.1
69.1;41.7;110.8
43.4;50;93.4
18.1;38.9;57
4.1;15.3;19.4
1.3;8.9;10.3
2.8;11.1;13.8
2.4;9.1;11.6
2.1;8.4;10.5
3.7;9.3;12.9
4.8;15.7;20.5
5;27.4;32.4
10.7;34.2;44.8
40.2;43.9;84.1
30.7;41.7;72.4
43.1;41;84
71.5;33;104.5
82;35.8;117.8
89.4;43;132.4
84.5;36;120.5
62.7;30.8;93.5
56.1;29.9;86
58.6;27.7;86.2
75;26.5;101.5
119.3;28.5;147.7
113.9;31.5;145.4
70.8;38.7;109.5
30.6;35.8;66.4
11.8;24.4;36.1
4.9;14.3;19.2
1.3;10.6;11.9
1.3;10.8;12.1
1;9;10
0.9;8.6;9.5
0.5;8.8;9.3
2.4;14.1;16.5
4.1;21.9;26
3.1;27.9;31
11.2;38.4;49.6
3.4;21.5;24.9
3.3;21.3;24.5
12;23.9;35.9
9.5;30.3;39.8
15;28.3;43.3
9.1;25.6;34.7
1.1;13.5;14.6
53.2;25.8;78.9
111.5;36.5;148
39.8;31.9;71.7
28.1;25.6;53.7
26.1;29.4;55.5
19.7;21;40.7
11.7;12;23.7
8.4;10.3;18.7
8.2;10.6;18.8
7.1;9.4;16.6
8;10.1;18.1
8.1;10.2;18.4
7.9;10.3;18.1
5.9;12.7;18.7
6.7;17.6;24.3
12;26.1;38.1
13.7;29.5;43.2
7.3;24.9;32.1
7.2;23;30.2
3.6;19.6;23.2
1.4;15.8;17.3
0.8;14.5;15.3
10.1;16.2;26.3
34.7;31.4;66.1
93.4;33.5;126.9
63.8;38.2;102
145.4;45.1;190.5
62.2;38.9;101.2
13.7;19;32.7
14.1;23.1;37.2
7.9;10.4;18.2
6.6;8.6;15.3
6.7;9.9;16.6
6.2;11.8;17.9
NA;NA;NA
7.6;10.6;18.2
10;13;23
10.9;19.6;30.4
3;22.6;25.6
6.6;27.4;34.1
9.7;31.7;41.4
11.6;35;46.5
11.4;31;42.4
20.3;33.5;53.8
25.3;32.4;57.7
29.5;30.7;60.3
33.1;31.1;64.2
25;28.5;53.5
48.6;31.6;80.3
110.5;40;150.4
201.8;50.1;251.9
124.7;51.5;176.1
18.5;24.1;42.6
8.3;13.4;21.7
6.5;8.5;15
6.1;8;14.2
7.5;8.8;16.3
7.7;9.4;17.2
6.4;10.8;17.2
10;13.7;23.7
10.1;23;33
9;24.1;33
6.4;28.7;35.1
6.3;25.6;31.8
4.8;18.3;23.1
6.5;23.2;29.6
7.8;22.7;30.6
3.4;19.6;23
1.4;19.4;20.8
0.7;16.8;17.5
1.4;18.3;19.7
4.9;23.1;28
53.2;32.2;85.4
111.4;38.3;149.7
169.5;44.4;213.9
187.5;61.5;249
92.5;67.2;159.8
35.9;44.7;80.6
9.1;16.5;25.6
