fecha;PM10_µg/m3;CO_ppm;OZONO_ppb;NO_ppb;NO2_ppb;NOX_ppb;SO2_ppb;Vel Viento_m/s;Dir Viento_Grados;Temperatura_°C;HR_%;Precipitacion_mm;R_S Global_W/M²;PM2.5_µg/m3;CO2_ppm
02-12-2019 01:00;NA;0.5;11.3;2;12;13.9;0.3;11;155;107;72;0;0;6;448
02-12-2019 02:00;NA;0.1;11.6;1.7;9;10.8;0.4;4;162;109;71;0;0;4;462
02-12-2019 03:00;NA;0.1;10;0.7;8.9;9.7;0.3;3;135;101;77;0;0;4;475
02-12-2019 04:00;NA;0.1;6.1;0.9;11.7;12.6;0.4;3;96;99;79;0;0;2;488
02-12-2019 05:00;NA;0.2;2.1;13.5;14.7;28.2;0.6;7;323;9;82;0;0;3;500
02-12-2019 06:00;NA;0.3;1.4;19.6;16;35.8;0.7;3;44;98;84;0;1;3;501
02-12-2019 07:00;NA;0.8;2.6;56;17.6;73.7;1.7;3;81;122;77;0;62;7;484
02-12-2019 08:00;NA;0.7;6.1;23.8;18.7;42.5;1;9;92;155;62;0;112;17;438
02-12-2019 09:00;NA;0.7;9.4;24.4;18.5;43;1;11;338;172;58;0;232;8;432
02-12-2019 10:00;NA;0.4;18;8.7;9.3;18.1;0.6;16;96;185;54;0;303;12;421
02-12-2019 11:00;NA;0.4;19.6;5.2;6.6;11.8;0.6;18;170;186;53;0;284;6;421
02-12-2019 12:00;NA;0.2;19.2;5.9;8.1;14;0.4;24;203;177;56;0;233;2;424
02-12-2019 13:00;NA;0.1;20.1;5.3;9.1;14.3;0.5;12;174;176;56;0;200;5;426
02-12-2019 14:00;NA;0;22.7;4.7;7.7;12.4;0.4;28;111;176;54;0;215;4;423
02-12-2019 15:00;NA;0;21.6;4.8;8;12.8;0.5;26;109;174;55;0;205;6;423
02-12-2019 16:00;NA;0.1;22.7;5.6;7.7;13.2;0.6;9;228;20;48;0;372;7;421
02-12-2019 17:00;NA;0.2;19.7;5.5;10.3;15.8;0.6;2;74;205;45;0;185;6;427
02-12-2019 18:00;NA;0;13.6;4.4;14.2;18.6;0.4;19;124;158;56;0;17;3;433
02-12-2019 19:00;NA;0.6;3.7;12.7;23.9;36.6;0.7;14;126;134;64;0;0;6;447
02-12-2019 20:00;NA;1.1;1.4;28.2;24.7;52.9;1.1;8;131;117;71;0;0;8;470
02-12-2019 21:00;NA;0.7;5.3;10.3;20.3;30.6;0.8;16;115;126;68;0;0;11;442
02-12-2019 22:00;NA;0.5;1.8;14.8;22.6;37.5;0.7;12;93;116;72;0;0;9;452
02-12-2019 23:00;NA;0.5;1.8;13.5;21.2;34.7;0.6;11;99;114;75;0;0;11;452
02-12-2019 24:00;NA;0.9;1.2;37.4;20.2;57.7;1.2;5;140;94;81;0;0;12;490
03-12-2019 01:00;NA;1.4;2.5;36;18.3;54.3;1.2;3;51;91;82;0;0;17;491
03-12-2019 02:00;NA;0.9;5.8;4.6;14.2;18.8;0.5;2;76;98;80;0;0;11;476
03-12-2019 03:00;NA;0.9;2.3;3.3;16.2;19.5;0.5;3;297;97;81;0;0;7;489
03-12-2019 04:00;NA;0.8;3.9;2.2;14.7;16.9;0.6;12;23;10;82;0;0;4;481
03-12-2019 05:00;NA;0.7;3.6;3.8;15;18.8;0.5;4;2;104;79;0;0;4;467
03-12-2019 06:00;NA;0.8;1.8;13.1;17.9;31;0.7;8;66;103;80;0;2;6;475
03-12-2019 07:00;NA;1.2;3.7;29.4;19.4;48.9;1.1;24;30;123;73;0;85;6;454
03-12-2019 08:00;NA;1.2;11.2;26;17.2;43.1;1.2;25;47;173;57;0;324;9;440
03-12-2019 09:00;NA;0.9;21.5;11.9;12.2;24.1;0.6;3;19;199;47;0;498;11;422
03-12-2019 10:00;NA;0.7;29.5;8;9.5;17.4;0.6;5;129;214;42;0;657;8;421
